frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
11750,432800,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,18,-3
11751,432833,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,14,-2
11752,432867,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,13,-1
11753,432900,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,12,-2
11754,432933,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,15,-3
11755,432967,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,21,-4
11756,433000,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,16,-2
11757,433033,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,41,0
11758,433100,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,24,0
11759,433133,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,20,0
11760,433167,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,27,0
11761,433200,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,43,0
11762,433267,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,5,0
11763,433300,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11764,433333,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11765,433367,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11766,433400,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,1,0
11767,433433,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,6,0
11768,433467,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,22,0
11769,433500,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,21,0
11770,433533,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,23,0
11771,433567,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,44,0
11772,433633,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,36,0
11773,433667,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,40,0
11774,433700,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,41,0
11775,433733,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,61,0
11776,433800,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,16,-2
11777,433833,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,7,-1
11778,433867,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,8,-2
11779,433900,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,13,-1
11780,433933,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,38,-8
11781,434000,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,29,-6
11782,434033,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,25,-6
11783,434067,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,15,-2
11784,434100,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,8,-2
11785,434133,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,11,-2
11786,434167,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,20,-4
11787,434200,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,23,-4
11788,434233,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,19,-4
11789,434267,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,48,-10
11790,434333,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,22,-5
11791,434367,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,17,-3
11792,434400,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,7,-1
11793,434433,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,5,-1
11794,434467,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11795,434500,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11796,434533,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11797,434567,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11798,434600,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11799,434633,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11800,434667,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11801,434700,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11802,434733,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,1,-1
11803,434800,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,14,-5
11804,434833,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,28,-9
11805,434867,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,29,-6
11806,434900,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,10,-2
11807,434933,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,4,-2
11808,434967,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,25,-9
11809,435033,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,18,-4
11810,435067,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,14,-3
11811,435100,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,18,-3
11812,435133,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,7,-2
11813,435167,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,1,0
11814,435200,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,6,-1
11815,435233,,,,,,,,,,,,,,,,,,,,,,,movement_look_x_axis|movement_look_y_axis,,18,-3
