frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
116,3867,,,,,,,,,,,,,,,,,,,,,,,,,0,0
117,3900,,,,,,,,,,,,,,,,,,,,,,,,,0,0
118,3933,,,,,,,,,,,,,,,,,,,,,,,,,0,0
119,3967,,,,,,,,,,,,,,,,,,,,,,,,,0,0
120,4000,,,,,,,,,,,,,,,,,,,,,,,,,0,0
121,4033,,,,,,,,,,,,,,,,,,,,,,,,,0,0
122,4067,,,,,,,,,,,,,,,,,,,,,,,,,0,0
123,4100,,,,,,,,,,,,,,,,,,,,,,,,,0,0
124,4133,,,,,,,,,,,,,,,,,,,,,,,,,0,0
125,4167,,,,,,,,,,,,,,,,,,,,,,,,,0,0
126,4200,,,,,,,,,,,,,,,,,,,,,,,,,0,0
127,4233,,,,,,,,,,,,,,,,,,,,,,,,,0,0
128,4267,,,,,,,,,,,,,,,,,,,,,,,,,0,0
129,4300,,,,,,,,,,,,,,,,,,,,,,,,,0,0
130,4333,,,,,,,,,,,,,,,,,,,,,,,,,0,0
131,4367,,,,,,,,,,,,,,,,,,,,,,,,,0,0
132,4400,,,,,,,,,,,,,,,,,,,,,,,,,0,0
133,4433,,,,,,,,,,,,,,,,,,,,,,,,,0,0
134,4467,,,,,,,,,,,,,,,,,,,,,,,,,0,0
135,4500,,,,,,,,,,,,,,,,,,,,,,,,,0,0
136,4533,,,,,,,,,,,,,,,,,,,,,,,,,0,0
137,4567,,,,,,,,,,,,,,,,,,,,,,,,,0,0
138,4600,,,,,,,,,,,,,,,,,,,,,,,,,0,0
139,4633,,,,,,,,,,,,,,,,,,,,,,,,,0,0
